T/K,Pexp/kPa,x,¦Ñ/molar dm-3),Z
313.33 ,698.9 ,0.9234,0.3044 ,0.881275345
318.31 ,712.9 ,0.9234,0.3044 ,0.884976891
323.31 ,726.5 ,0.9234,0.3043 ,0.888025287
328.30 ,740.2 ,0.9234,0.3043 ,0.891132301
333.28 ,754.2 ,0.9234,0.3043 ,0.894532826
338.28 ,767.6 ,0.9234,0.3042 ,0.89708353
343.27 ,780.4 ,0.9234,0.3042 ,0.898898727
348.28 ,793.7 ,0.9234,0.3041 ,0.901182041
353.28 ,807.3 ,0.9234,0.3041 ,0.903765578
288.36 ,668.6 ,0.8747,0.3348 ,0.833002279
293.35 ,696.2 ,0.8747,0.3347 ,0.852742574
298.35 ,713.8 ,0.8747,0.3347 ,0.859757177
303.34 ,730.3 ,0.8747,0.3346 ,0.8652709
308.33 ,745.2 ,0.8747,0.3346 ,0.868745779
313.33 ,761.6 ,0.8747,0.3346 ,0.873807702
318.31 ,776.9 ,0.8747,0.3345 ,0.877527611
323.31 ,792.9 ,0.8747,0.3345 ,0.881861709
328.30 ,808.4 ,0.8747,0.3344 ,0.885547301
333.28 ,823.6 ,0.8747,0.3344 ,0.88882947
338.28 ,838.5 ,0.8747,0.3344 ,0.891647791
343.27 ,852.9 ,0.8747,0.3343 ,0.893889781
348.28 ,867.7 ,0.8747,0.3343 ,0.896433543
353.28 ,882.7 ,0.8747,0.3342 ,0.89913794
288.36 ,692.2 ,0.9726,0.3504 ,0.823978089
293.35 ,715.4 ,0.9726,0.3503 ,0.837215217
298.35 ,733.4 ,0.9726,0.3503 ,0.84400384
303.34 ,749.7 ,0.9726,0.3503 ,0.848677247
308.33 ,765.7 ,0.9726,0.3502 ,0.852869844
313.33 ,781.9 ,0.9726,0.3502 ,0.857125463
318.31 ,798.1 ,0.9726,0.3501 ,0.86130552
323.31 ,814.2 ,0.9726,0.3501 ,0.865201804
328.30 ,829.8 ,0.9726,0.3500 ,0.868486636
333.28 ,845.0 ,0.9726,0.3500 ,0.871290677
338.28 ,860.3 ,0.9726,0.3499 ,0.874066438
343.27 ,876.2 ,0.9726,0.3499 ,0.877391368
348.28 ,891.0 ,0.9726,0.3499 ,0.879489089
353.28 ,906.3 ,0.9726,0.3498 ,0.88204233
313.15,649.7,0.0000 ,0.288867484,0.86383516
318.15,665.2,0.0000 ,0.288816441,0.87069788
323.15,679.7,0.0000 ,0.288765397,0.876066444
303.15,497.8,0.0000 ,0.223572163,0.883382269
308.15,510,0.0000 ,0.223531327,0.890509778
313.15,521,0.0000 ,0.223490492,0.89535516
318.15,531.7,0.0000 ,0.223449657,0.899547551
323.15,542.3,0.0000 ,0.223408822,0.903450185
293.15,371.6,0.0000 ,0.169179812,0.901169231
298.15,380.5,0.0000 ,0.16915429,0.907414923
303.15,388.9,0.0000 ,0.169123663,0.912315553
308.15,396.9,0.0000 ,0.169093037,0.916140933
313.15,404.9,0.0000 ,0.169062411,0.919850796
318.15,412.6,0.0000 ,0.169031785,0.922779643
323.15,420.4,0.0000 ,0.169001158,0.925844289
283.15,275,0.0000 ,0.127650517,0.915087527
288.15,281.6,0.0000 ,0.127624995,0.92097401
293.15,287.8,0.0000 ,0.127604577,0.925345086
298.15,294.1,0.0000 ,0.127579055,0.929929262
303.15,300.3,0.0000 ,0.127558638,0.934021713
308.15,306,0.0000 ,0.127533116,0.936494798
313.15,311.7,0.0000 ,0.127512698,0.938858269
318.15,317.4,0.0000 ,0.127487177,0.941190593
323.15,323.1,0.0000 ,0.127466759,0.943419699
278.15,208,0.0000 ,0.096370832,0.933270954
283.15,212.8,0.0000 ,0.096350414,0.938146273
288.15,217.5,0.0000 ,0.096335101,0.942378059
293.15,222,0.0000 ,0.096319788,0.94561999
298.15,226.4,0.0000 ,0.09629937,0.948390614
303.15,230.6,0.0000 ,0.096284057,0.950203081
308.15,234.6,0.0000 ,0.096268744,0.951151322
313.15,239,0.0000 ,0.096248326,0.953721085
318.15,243.2,0.0000 ,0.096233013,0.955381097
323.15,247.4,0.0000 ,0.096212596,0.957045729
353.15,1548.1,0.0000 ,0.690419422,0.763652689
358.15,1586.3,0.0000 ,0.690291813,0.771714627
363.15,1623.9,0.0000 ,0.690159099,0.77927923
368.15,1661,0.0000 ,0.690026385,0.786408531
373.15,1697.7,0.0000 ,0.689893671,0.793166618
378.15,1734.2,0.0000 ,0.689766061,0.799654419
383.15,1770.5,0.0000 ,0.689633347,0.805894021
388.15,1806.5,0.0000 ,0.689500633,0.811844387
393.15,1842.4,0.0000 ,0.689362814,0.817611286
338.15,1173.7,0.0000 ,0.52107627,0.801153073
343.15,1202,0.0000 ,0.520979287,0.808665831
348.15,1229.7,0.0000 ,0.520882304,0.815571904
353.15,1257,0.0000 ,0.52078532,0.822027637
358.15,1283.8,0.0000 ,0.520683232,0.827995372
363.15,1310.4,0.0000 ,0.520586249,0.833670107
368.15,1336.8,0.0000 ,0.520489266,0.839071443
373.15,1363,0.0000 ,0.520387178,0.844218584
378.15,1389.1,0.0000 ,0.520290195,0.849166497
383.15,1415.1,0.0000 ,0.520188107,0.853939235
388.15,1441,0.0000 ,0.520086019,0.858535577
393.15,1466.8,0.0000 ,0.519989036,0.862953751
328.15,895.7,0.0000 ,0.391450355,0.838653492
333.15,916,0.0000 ,0.391378894,0.844942859
338.15,936.1,0.0000 ,0.391307433,0.850871235
343.15,955.7,0.0000 ,0.391230867,0.856196714
348.15,975,0.0000 ,0.391159405,0.861099872
353.15,994.1,0.0000 ,0.391087944,0.865696219
358.15,1013,0.0000 ,0.391011378,0.870009871
363.15,1032,0.0000 ,0.390939917,0.874284378
368.15,1050.8,0.0000 ,0.390863351,0.878292945
373.15,1069.6,0.0000 ,0.39079189,0.882188703
378.15,1088.4,0.0000 ,0.390715324,0.885998669
383.15,1107.2,0.0000 ,0.390638758,0.889715184
388.15,1125.9,0.0000 ,0.390567296,0.893250851
393.15,1144.4,0.0000 ,0.390490731,0.896557041
328.15,709.5,0.0000 ,0.296432186,0.877250692
333.15,723.9,0.0000 ,0.296381143,0.881773975
338.15,738.1,0.0000 ,0.296324994,0.8859447
343.15,752.1,0.0000 ,0.296268846,0.889763703
348.15,766,0.0000 ,0.296212698,0.893362635
353.15,780.2,0.0000 ,0.29615655,0.897210773
358.15,794.1,0.0000 ,0.296100401,0.900617394
363.15,807.8,0.0000 ,0.296044253,0.903712421
368.15,821.6,0.0000 ,0.295988105,0.906839552
373.15,835.5,0.0000 ,0.295931956,0.909997562
378.15,849.3,0.0000 ,0.295875808,0.912970296
383.15,863,0.0000 ,0.29581966,0.915764952
388.15,876.7,0.0000 ,0.295763512,0.91849312
393.15,890.5,0.0000 ,0.295707363,0.921260796
323.15,544.2,0.0000 ,0.224261255,0.9031694
328.15,554.5,0.0000 ,0.22422042,0.906406615
333.15,564.7,0.0000 ,0.224179585,0.90939172
338.15,575.1,0.0000 ,0.224138749,0.912611878
343.15,585.5,0.0000 ,0.224097914,0.91574418
348.15,595.8,0.0000 ,0.224057079,0.918638229
353.15,606.3,0.0000 ,0.224016244,0.921760157
358.15,616.5,0.0000 ,0.223970305,0.924371975
363.15,626.8,0.0000 ,0.22392947,0.92704491
368.15,636.8,0.0000 ,0.223888635,0.929213023
373.15,646.9,0.0000 ,0.223842695,0.931493578
378.15,657.1,0.0000 ,0.22380186,0.933840611
383.15,667.1,0.0000 ,0.22375592,0.935872446
388.15,677.1,0.0000 ,0.223715085,0.937836301
393.15,687.1,0.0000 ,0.223669146,0.939776704
323.15,422,0.0000 ,0.169409509,0.927127776
328.15,429.7,0.0000 ,0.169378883,0.929828314
333.15,437.3,0.0000 ,0.169348257,0.932240606
338.15,445,0.0000 ,0.16931763,0.93479746
343.15,452.6,0.0000 ,0.169287004,0.937078586
348.15,460.1,0.0000 ,0.169251273,0.939124077
353.15,467.9,0.0000 ,0.169220647,0.941693493
358.15,475.5,0.0000 ,0.169190021,0.94379986
363.15,483,0.0000 ,0.169159394,0.945657882
368.15,490.4,0.0000 ,0.169123663,0.947306168
373.15,497.9,0.0000 ,0.169093037,0.949078295
378.15,505.4,0.0000 ,0.169062411,0.95080873
383.15,512.9,0.0000 ,0.16902668,0.952527874
388.15,520.5,0.0000 ,0.168996054,0.954363158
393.15,528.3,0.0000 ,0.168965427,0.95651892
323.15,325.1,0.0000 ,0.128018033,0.945171779
328.15,330.8,0.0000 ,0.127992511,0.947278367
333.15,336.5,0.0000 ,0.127972093,0.949290343
338.15,342.3,0.0000 ,0.127946571,0.951563863
343.15,347.9,0.0000 ,0.127926154,0.953191517
348.15,353.5,0.0000 ,0.127900632,0.954815398
353.15,359.3,0.0000 ,0.12787511,0.956931988
358.15,364.9,0.0000 ,0.127849588,0.958470302
363.15,370.6,0.0000 ,0.12782917,0.960192881
368.15,376.2,0.0000 ,0.127803649,0.961656165
373.15,381.8,0.0000 ,0.127778127,0.96308595
378.15,387.5,0.0000 ,0.127752605,0.964732534
383.15,393.1,0.0000 ,0.127732187,0.966057444
388.15,398.7,0.0000 ,0.127706665,0.967391276
393.15,404.4,0.0000 ,0.127681143,0.968936219
323.15,249,0.0000 ,0.096794496,0.957444504
328.15,253.3,0.0000 ,0.096774078,0.959340597
333.15,257.6,0.0000 ,0.096758765,0.961135923
338.15,261.8,0.0000 ,0.096738348,0.962566341
343.15,266.1,0.0000 ,0.096723034,0.964273084
348.15,270.4,0.0000 ,0.096702617,0.9659867
353.15,274.6,0.0000 ,0.096682199,0.967306012
358.15,278.9,0.0000 ,0.096666886,0.968890985
363.15,283.2,0.0000 ,0.096646469,0.970488283
368.15,287.5,0.0000 ,0.096631155,0.971997074
373.15,291.7,0.0000 ,0.096610738,0.973187831
393.15,308.8,0.0000 ,0.096534172,0.978604078
378.15,295.9,0.0000 ,0.09659032,0.974353029
383.15,300.2,0.0000 ,0.096575007,0.975767153
388.15,304.5,0.0000 ,0.09655459,0.977200926
353.15,1092.1,0.0000 ,0.438221856,0.848746992
353.15,861.7,0.0000 ,0.331484014,0.885326327
353.15,672.3,0.0000 ,0.25074792,0.913136382
353.15,520,0.0000 ,0.189668822,0.933721311
353.15,400.2,0.0000 ,0.143474117,0.949977671
353.15,306.7,0.0000 ,0.108529482,0.962444999
353.15,234.2,0.0000 ,0.08209386,0.971596825
353.15,178.4,0.0000 ,0.062099976,0.978392908
353.15,1750.7,0.0000 ,0.832566399,0.716147908
353.15,1452.6,0.0000 ,0.629779302,0.785538603
353.15,1170.8,0.0000 ,0.476382255,0.837022269
353.15,927.5,0.0000 ,0.360349324,0.876597206
353.15,725.7,0.0000 ,0.272579385,0.906721662
353.15,562.4,0.0000 ,0.206186619,0.928955069
353.15,432.9,0.0000 ,0.155964553,0.945304131
353.15,331.8,0.0000 ,0.117977703,0.957825336
353.15,254,0.0000 ,0.089240003,0.969357594
323.15,903.4,0.0000 ,0.410050743,0.819987834
323.15,722.5,0.0000 ,0.310173197,0.866958902
323.15,566.5,0.0000 ,0.234623161,0.898656993
323.15,439.9,0.0000 ,0.177479545,0.922508932
323.15,339.3,0.0000 ,0.13425049,0.940660498
323.15,260.4,0.0000 ,0.101551785,0.954373441
323.15,199.3,0.0000 ,0.076815924,0.965652713
323.15,888.8,0.0000 ,0.401317136,0.824292346
323.15,709.2,0.0000 ,0.30356812,0.869515827
323.15,555.7,0.0000 ,0.229625966,0.900708635
323.15,431.3,0.0000 ,0.173697194,0.92416939
323.15,332.5,0.0000 ,0.131392033,0.941862581
323.15,255.1,0.0000 ,0.099387525,0.95530821
323.15,195.1,0.0000 ,0.075177416,0.965905863
400.028,3726,1,1.548864771,0.723282643
400.026,2953.7,1,1.123089637,0.7907384
400.035,2285.2,1,0.814277358,0.843767808
400.034,1736.5,1,0.590365099,0.884354303
400.042,1302.4,1,0.42798447,0.914913158
400.035,967.62,1,0.310274177,0.937627421
400.026,714,1,0.224923497,0.954430372
400.034,524.3,1,0.163051124,0.966781299
400.029,383.61,1,0.118193929,0.975825943
400.03,279.93,1,0.085669439,0.982426444
400.037,203.92,1,0.062103199,0.987221885
400.044,148.33,1,0.045011079,0.99076554
400.035,107.78,1,0.032623415,0.993298665
390.027,3549.2,1,1.549876009,0.706167832
390.022,2835.1,1,1.123804098,0.777960866
390.027,2204.5,1,0.814793969,0.834327792
390.025,1680.8,1,0.590727826,0.877415397
390.033,1263.5,1,0.428248271,0.909802991
390.029,940.27,1,0.310461036,0.933937178
390.034,694.61,1,0.225055397,0.95173977
390.029,510.46,1,0.16315005,0.964820876
390.034,373.69,1,0.118259879,0.974407606
390.036,272.82,1,0.085724398,0.981377628
390.033,198.78,1,0.062136174,0.98649732
390.038,144.64,1,0.045044054,0.990177613
390.028,105.11,1,0.032645398,0.992876803
380.026,3369.3,1,1.550601462,0.687694052
380.02,2714.6,1,1.124309717,0.764156854
380.017,2122.6,1,0.815156696,0.82412506
