T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Var9,Var10
283.37,352.7,0.560316979739343,0.164133833649305,0.164158988492022,352.65117737583,-0.0138425359143709,0.0153258119654716,-536.173556406246,-2368.62644825236
288.36,360.5,0.560316979739343,0.164094444800319,0.164195074746651,360.299172103358,-0.0557081544082144,0.0613244076936819,-518.180182097944,31062.7182153537
293.34,368,0.560316979739343,0.164055153730676,0.164094231035409,367.919895173978,-0.0217676157667768,0.0238196142237124,-499.509371622021,54511.0031527758
298.35,375.3,0.560316979739343,0.164015644949483,0.16390447825027,375.533832018719,0.0623053607031403,-0.0677781069279709,-480.878902118291,69981.3480356925
303.33,382.9,0.560316979739343,0.163976391602222,0.163911820823647,383.039168699693,0.036345964923655,-0.0393780945805602,-462.849315961737,78822.6632741868
308.32,390.3,0.560316979739343,0.163937078273851,0.163845220131769,390.502669615582,0.0519266245404814,-0.0560325602049217,-445.317725228783,82409.7712962791
313.33,398,0.560316979739343,0.163897626336684,0.163918567004464,397.952743981043,-0.0118733715973077,0.0127766754453786,-428.160579523168,81751.2277569299
318.31,405.5,0.560316979739343,0.163858429452394,0.163931810532589,405.330766883412,-0.0417344307246156,0.0447832195389728,-411.416875306647,77724.9442006099
323.31,413,0.560316979739343,0.1638190940077,0.163936097435747,412.72437932576,-0.0667362407360574,0.0714223386205329,-394.807792780445,71010.7966782171
328.3,420.3,0.560316979739343,0.163779856058303,0.163863815399059,420.098086815759,-0.048040253209862,0.0512635331210164,-378.37893153674,62224.6675443896
333.28,427.5,0.560316979739343,0.163740715477676,0.163759055855012,427.454993947227,-0.0105277316428945,0.0112008655163186,-362.144879433418,51857.7007817944
338.28,435.1,0.560316979739343,0.163701436522152,0.163806862872711,434.836129228302,-0.0606460059062306,0.0644016037969301,-346.098035360404,40238.1685551982
343.27,442.5,0.560316979739343,0.163662254908416,0.163784720839374,442.18751762092,-0.0706174867978032,0.0748284514510432,-330.495669080055,27756.5955752778
348.28,450,0.560316979739343,0.163622935118607,0.163800841237571,449.537438497562,-0.1027914449863,0.108729328706031,-315.470013172376,14602.9078845592
353.29,457.5,0.560316979739343,0.163583634217387,0.163834854737114,456.834817752182,-0.145395026845401,0.153573137636412,-301.363961155221,1045.0135624577
283.37,242.2,0.45015528465869,0.109481300476197,0.109510285741115,242.14007311248,-0.024742728125337,0.0264750827689636,-560.310061261721,6353.51785040595
288.36,247.2,0.45015528465869,0.10945502714598,0.109518277870779,247.066022932222,-0.054197842952095,0.0577869527310295,-539.72886905804,46463.2428650652
293.34,252.1,0.45015528465869,0.109428819036988,0.109486714165776,251.974457921937,-0.0497985236269295,0.0529066559412084,-518.942477563887,74931.4448584998
298.35,257,0.45015528465869,0.109402465709041,0.109452937513948,256.888036589521,-0.0435655293693739,0.0461340652420403,-498.533180405888,94092.4648651783
303.33,262,0.45015528465869,0.109376282761805,0.109489213353348,261.743967297011,-0.0977224057209231,0.103249615630779,-478.997083846186,105496.25196352
308.32,266.8,0.45015528465869,0.109350059805694,0.109443114071126,266.584523723043,-0.0807632222476094,0.0850975898848832,-460.156792688245,110747.834877496
313.33,271.5,0.45015528465869,0.10932374439411,0.109355255923166,271.425512769722,-0.027435443932822,0.0288240484544778,-441.844629711728,111020.090688228
318.31,276.2,0.45015528465869,0.109297599109063,0.109286997507205,276.225564766619,0.00925588943488079,-0.00969975730840578,-424.080190628379,107322.986142217
323.31,280.9,0.45015528465869,0.109271361400821,0.10921493599151,281.038751253197,0.0493952485572289,-0.0516378752742328,-406.552278511429,100457.198229952
328.3,285.5,0.45015528465869,0.109245188724338,0.109109568722612,285.839929149025,0.119064500534115,-0.124142768491087,-389.296693907405,91133.7280522708
333.28,290.3,0.45015528465869,0.109219080995217,0.109089758445421,290.630252443237,0.11376246752924,-0.118406553706234,-372.316001150593,79925.004610666
338.28,295.1,0.45015528465869,0.10919288096664,0.109063361533008,295.436888499812,0.114160792887817,-0.118615272795565,-355.589523900937,67219.0504565239
