T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Bm,Cm
283.37,190.7,0.33,0.088143839,0.0851982549940576,196.939745703725,3.27202186875966,-3.34179227880283,-0.595150544290799,0.100729622211005
288.36,194.9,0.33,0.088132638,0.0853659899060767,200.895892942544,3.07639453183378,-3.13918674932127,-0.569331795606879,0.119878865733319
293.35,199.1,0.33,0.08812144,0.0855331498687068,204.834660489788,2.88029155689999,-2.93718546961241,-0.544730589310539,0.132469190341276
298.35,203.2,0.33,0.088110222,0.0856516143973883,208.765758703895,2.73905448026316,-2.79037726475333,-0.521215520833287,0.13965148299127
303.34,207.3,0.33,0.08809903,0.0857736437048788,212.675120295623,2.59291861824552,-2.63951407310752,-0.498802920803714,0.142368579122636
308.33,211.2,0.33,0.08808784,0.0858105605744514,216.572079411273,2.54359820609509,-2.58523699247088,-0.47737402746624,0.141461288359721
313.33,215.6,0.33,0.088076631,0.0860543694627154,220.465705817978,2.25682088032385,-2.29602507989273,-0.45682420159088,0.137612857900327
318.31,219.8,0.33,0.088065469,0.086217062003378,224.333803234098,2.06269482897975,-2.09890098538162,-0.43721521706272,0.131437766206255
323.31,224,0.33,0.088054266,0.086370582300293,228.208449832805,1.87877224678796,-1.9120978189824,-0.418335505801781,0.123377749061508
328.3,228.2,0.33,0.088043088,0.0865241372863467,232.067251866342,1.69467654090364,-1.72523561832965,-0.400251245206663,0.113886212943832
333.28,232.1,0.33,0.088031934,0.0865618068908522,235.91103125364,1.64197813599316,-1.66999296999176,-0.382912539320217,0.103313314107916
338.28,235.9,0.33,0.088020739,0.0865565303988905,239.763614038229,1.63781858339524,-1.66348137693948,-0.366175112439588,0.0918776392131186
343.27,239.8,0.33,0.08800957,0.086593290523713,243.602469591238,1.58568373279316,-1.60923349163848,-0.350102732602234,0.0798820088067161
348.28,243.6,0.33,0.087998358,0.0865882140870489,247.45119149293,1.58094888872315,-1.60246616527899,-0.334564698050393,0.067449464345358
353.28,247.4,0.33,0.087987171,0.0865874377500544,251.287192863809,1.57121781075559,-1.59083788470205,-0.319622593360142,0.0548150751948802
283.37,320.9,0.4364,0.161995715,0.148597349311205,347.019034079672,8.13930635078597,-8.27081487235342,-0.571274744941452,0.0669025145733715
288.36,328.8,0.4364,0.161975129,0.149013611395637,354.78190241781,7.90203844823891,-8.0021653227782,-0.548153554238231,0.0902778278461265
293.35,336.4,0.4364,0.161954549,0.149292341551608,362.466347896375,7.74861709166917,-7.81837097295243,-0.525900392008196,0.106014567155625
298.35,343.5,0.4364,0.161933932,0.149339523278392,370.098750381386,7.74344989268883,-7.77749824638833,-0.50442345780091,0.11552524105872
303.34,350.3,0.4364,0.161913362,0.149273240779939,377.658219725726,7.80993997308758,-7.80671901560588,-0.483762790444115,0.119940021826129
308.33,356.2,0.4364,0.161892797,0.148823095148468,385.168356382048,8.13260987704891,-8.0730595145206,-0.463832306817458,0.120255038868088
313.33,363.8,0.4364,0.161872196,0.14914630849118,392.651201112439,7.93051157571161,-7.86168830922615,-0.444554927170803,0.117269680513186
318.31,371,0.4364,0.161851682,0.149307271082907,400.068082352688,7.83506262875674,-7.75055950119393,-0.426007960117264,0.111682042268994
323.31,377.9,0.4364,0.161831092,0.149333498827632,407.483842382446,7.82848435629696,-7.72261560984069,-0.408008573448998,0.1040061555438
328.3,384.8,0.4364,0.161810548,0.149372246094848,414.858404397215,7.81143565416182,-7.68695369918153,-0.390635177783945,0.0947442620208654
333.28,391.4,0.4364,0.16179005,0.149300413737541,422.195787521984,7.86811127286244,-7.71965659350427,-0.373855038714528,0.0842869943241718
338.28,398.1,0.4364,0.161769475,0.14926558556894,429.543456799576,7.8983815120764,-7.72944922462038,-0.357541380539338,0.0728837624791314
343.27,404.6,0.4364,0.161748947,0.149164093286606,436.860124831396,7.97333782288569,-7.78048571369929,-0.341768134898155,0.0608602404643249
348.28,411.3,0.4364,0.161728341,0.149135899242512,444.192191763125,7.99712904525292,-7.78616888025095,-0.326417928729841,0.0483570328683164
353.28,417.9,0.4364,0.161707782,0.14907928758608,451.497825873902,8.03968075470251,-7.80945373050751,-0.311561612206228,0.0356231143817679
288.36,586.5,0.7208,0.310482064,0.283162756833989,633.436243253038,8.00276952310958,-8.79899689342799,-0.486246265501465,0.0198521119017389
293.35,606.8,0.7208,0.310442614,0.286606000985082,649.120452027526,6.97436585819485,-7.67826707415805,-0.468750972209918,0.0291434721682178
298.35,621.9,0.7208,0.310403095,0.287129451332232,664.582855257328,6.86329880323648,-7.49787745117945,-0.45168366063793,0.0343951700166551
303.34,635.3,0.7208,0.310363665,0.286831710178916,679.806612800157,7.00560566663891,-7.58205855736486,-0.435098304086173,0.0364066801641781
308.33,649.2,0.7208,0.310324245,0.28687009133478,694.860386585023,7.03333126694739,-7.55795077024043,-0.418946214138709,0.0358597506931132
313.33,662.6,0.7208,0.310284756,0.286697500552353,709.805275195717,7.12424919947433,-7.6018093030801,-0.403182419348045,0.0332918414918673
318.31,676.3,0.7208,0.310245435,0.286745001199701,724.578161269351,7.13857182749528,-7.57478794177863,-0.387886704379526,0.0291673659461721
323.31,689.6,0.7208,0.310205966,0.286608091477793,739.319657190615,7.2099270868061,-7.60716333940758,-0.372922939085638,0.0238159727510447
328.3,702.1,0.7208,0.310166586,0.286147472326185,753.959369339038,7.38632236704712,-7.7439397917011,-0.358369188837516,0.0175611489649784
333.28,715.3,0.7208,0.310127295,0.286051714610543,768.512993224319,7.43925530886609,-7.7631284887248,-0.34421069469454,0.010647473387317
338.28,728.2,0.7208,0.310087856,0.285818585466694,783.080841775659,7.53650669811301,-7.82657884328965,-0.330351112647691,0.00322639670507478
343.27,740.9,0.7208,0.310048506,0.28553084859198,797.586057637178,7.65097282186232,-7.90768442148871,-0.316862912535023,-0.0045010850478975
