T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Var9,Var10
313.15,649.7,0,0.288872350395546,0.289080673485097,649.305346159773,-0.0607440111170592,0.0721159672312634,-477.076396484005,13302.6581361677
318.15,665.2,0,0.288821305663005,0.289427258584733,664.015739138285,-0.178030797010685,0.209802015934268,-456.003682088958,10030.3430371237
323.15,679.7,0,0.288770260930464,0.289346484615728,678.539674096448,-0.170711476173574,0.199543984691242,-436.501431500724,7252.79703805864
303.15,497.8,0,0.223575928529207,0.22347668112333,497.992256361603,0.0386212056253002,-0.0443909174527439,-524.990944072148,21683.8582050949
308.15,510,0,0.223535092743175,0.223935977514639,509.200035811077,-0.156855723318294,0.179338629360286,-499.962506131136,17154.0256788833
313.15,521,0,0.223494256957142,0.223862541627729,520.243848104345,-0.145134720855145,0.164784847539734,-477.076396484005,13302.6581361677
318.15,531.7,0,0.223453421171109,0.22371317137989,531.151974250766,-0.103070481330375,0.116243558688623,-456.003682088958,10030.3430371237
323.15,542.3,0,0.223412585385076,0.223576926134149,541.944121253628,-0.0656239620822868,0.0735593067816792,-436.501431500724,7252.79703805864
293.15,371.6,0,0.169182661533608,0.168954644147559,372.047700112342,0.120479039919938,-0.134775859407095,-583.467233915589,33270.4634954174
298.15,380.5,0,0.169157139167338,0.169179045610469,380.45572269112,-0.0116366120579078,0.0129503509214158,-552.615223810924,27009.6353313501
303.15,388.9,0,0.169126512327813,0.169222918714428,388.699717296623,-0.0514997951598394,0.0570025274495796,-524.990944072148,21683.8582050949
308.15,396.9,0,0.169095885488289,0.169131764088546,396.82348522002,-0.0192781002721988,0.0212179025844851,-499.962506131136,17154.0256788833
313.15,404.9,0,0.169065258648764,0.16908782891692,404.850648064747,-0.0121886725741211,0.0133500331979292,-477.076396484005,13302.6581361677
318.15,412.6,0,0.16903463180924,0.168946379294763,412.79766936358,0.0479082315997132,-0.0522097238488028,-456.003682088958,10030.3430371237
323.15,420.4,0,0.169004004969715,0.168883566558419,420.676068363052,0.0656680216584183,-0.0712636433190487,-436.501431500724,7252.79703805864
283.15,275,0,0.12765266713832,0.127401782058172,275.492822138026,0.179208050191288,-0.196537280240025,-658.749839702354,49288.7296617107
288.15,281.6,0,0.12762714477205,0.127510032554365,281.836862568427,0.0841131279924821,-0.0917612141941661,-618.431832041761,40631.4012133045
293.15,287.8,0,0.127606726879033,0.127493315501104,288.035730141371,0.0819076238258987,-0.0888757048338884,-583.467233915589,33270.4634954174
298.15,294.1,0,0.127581204512763,0.127577835110314,294.107185808777,0.00244332158344444,-0.00264098654820181,-552.615223810924,27009.6353313501
303.15,300.3,0,0.127560786619746,0.127652205097415,300.100207577634,-0.0665309431788739,0.0716665991888689,-524.990944072148,21683.8582050949
308.15,306,0,0.127535264253476,0.127529840349125,306.012135999231,0.00396601282048344,-0.00425286636032478,-499.962506131136,17154.0256788833
313.15,311.7,0,0.12751484636046,0.127436580148258,311.879124511512,0.0574669590991659,-0.0613781174787945,-477.076396484005,13302.6581361677
318.15,317.4,0,0.127489323994189,0.127366388437637,317.687558989867,0.0905982954843258,-0.096428118607021,-456.003682088958,10030.3430371237
323.15,323.1,0,0.127468906101173,0.127314981322726,323.467716869774,0.113808997144616,-0.120754765341991,-436.501431500724,7252.79703805864
278.15,208,0,0.0963724550372473,0.0964567682982125,207.83124054405,-0.0811343538220791,0.0874868871324383,-706.159798427085,59476.3944633981
283.15,212.8,0,0.096352037144231,0.0964781901712305,212.540325496326,-0.122027492328224,0.130929278444485,-658.749839702354,49288.7296617107
288.15,217.5,0,0.0963367237244687,0.0965074448138853,217.139303095294,-0.165837657336067,0.177212887065658,-618.431832041761,40631.4012133045
293.15,222,0,0.0963214103047064,0.0964835777603738,221.648836955607,-0.15818155152831,0.168360757130089,-583.467233915589,33270.4634954174
298.15,226.4,0,0.0963009924116901,0.0964454646458009,226.079739619539,-0.141457765221406,0.150021542346382,-552.615223810924,27009.6353313501
303.15,230.6,0,0.0962856789919278,0.0963429655055025,230.470123657359,-0.0563210505817288,0.0594964008921106,-524.990944072148,21683.8582050949
308.15,234.6,0,0.0962703655721655,0.0961753888838289,234.820041107266,0.0937941633701667,-0.0986562040894953,-499.962506131136,17154.0256788833
313.15,239,0,0.0962499476791492,0.0961970174271564,239.125210214136,0.0523892109356914,-0.054992499496455,-477.076396484005,13302.6581361677
318.15,243.2,0,0.0962346342593869,0.0961455719325909,243.414988218083,0.0883997607250553,-0.0925470621688723,-456.003682088958,10030.3430371237
323.15,247.4,0,0.0962142163663705,0.0961050193370768,247.668820000997,0.108658044057077,-0.113493653451264,-436.501431500724,7252.79703805864
353.15,1548.1,0,0.690431052348415,0.693670597312709,1543.15242335663,-0.31959024890966,0.469206150748209,-344.235594050393,-2369.96133339473
358.15,1586.3,0,0.690303440517063,0.69341509747605,1581.33351883518,-0.313085870568213,0.450766543573488,-332.017319651316,-3193.49929212077
363.15,1623.9,0,0.690170724212456,0.693040315925342,1619.12453158231,-0.294074045057678,0.415779981997922,-320.472526213336,-3872.81638916839
368.15,1661,0,0.69003800790785,0.692581687154255,1656.59541760088,-0.265176544197734,0.368628860621335,-309.521310315945,-4428.37788036179
373.15,1697.7,0,0.689905291603244,0.692065554694251,1693.81479189355,-0.228851275634744,0.313124586417763,-299.084834360457,-4877.78016864987
378.15,1734.2,0,0.689777679771891,0.691564862203975,1730.86688009394,-0.192199279555736,0.259095428062367,-289.085350666962,-5236.16709010451
383.15,1770.5,0,0.689644963467285,0.691036108890856,1767.81310814363,-0.151758930040463,0.201719072459615,-279.446406433951,-5516.5827665078
388.15,1806.5,0,0.689512247162679,0.690389368070461,1804.74748779569,-0.0970114699312989,0.127208894605154,-270.093144546007,-5730.27121569186
393.15,1842.4,0,0.689374426384818,0.689690101708081,1841.74812685643,-0.0353817381445098,0.0457915627822398,-260.95264234306,-5886.93118448538
338.15,1173.7,0,0.521085047670676,0.522668777179579,1171.03566620953,-0.227002964170783,0.303929179312135,-385.755764898666,1224.64767032622
343.15,1202,0,0.520988062678848,0.522689657545357,1199.02585900451,-0.247432695132333,0.326609185200814,-371.01967970569,-190.974839821625
348.15,1229.7,0,0.52089107768702,0.522553985241887,1226.68601109272,-0.245099528932039,0.319242856347328,-357.20859774884,-1378.37638766163
353.15,1257,0,0.520794092695193,0.522369136611835,1254.04495210345,-0.235087342605664,0.302431217775786,-344.235594050393,-2369.96133339473
358.15,1283.8,0,0.520692003230111,0.522072143531566,1281.12379064203,-0.208459990494487,0.265058862608611,-332.017319651316,-3193.49929212077
363.15,1310.4,0,0.520595018238283,0.52180626749927,1307.97606056305,-0.184977063259356,0.232666318069244,-320.472526213336,-3872.81638916839
368.15,1336.8,0,0.520498033246455,0.521550272500846,1334.62960787045,-0.162357280786037,0.202160082686146,-309.521310315945,-4428.37788036179
373.15,1363,0,0.520395943781373,0.521283843602044,1361.11444625121,-0.138338499544305,0.170620050229265,-299.084834360457,-4877.78016864987
378.15,1389.1,0,0.520298958789546,0.52103329196246,1387.49605217562,-0.115466692417862,0.14113677540744,-289.085350666962,-5236.16709010451
383.15,1415.1,0,0.520196869324464,0.52077626776543,1413.79943441264,-0.0919062672149804,0.111380608983366,-279.446406433951,-5516.5827665078
388.15,1441,0,0.520094779859382,0.520491740498752,1440.08493240906,-0.0635022616894202,0.0763246728755,-270.093144546007,-5730.27121569186
393.15,1466.8,0,0.519997794867554,0.520160036299199,1466.41614763106,-0.0261693733934945,0.0312004076260011,-260.95264234306,-5886.93118448538
328.15,895.7,0,0.391456949383022,0.392425616300089,893.917924250815,-0.198958998457678,0.247451710486594,-418.38524679294,4898.43482511684
333.15,916,0,0.391385486757465,0.392313723099839,914.234445859468,-0.19274608521088,0.237166776434258,-401.509887276717,2906.35205305012
338.15,936.1,0,0.391314024131908,0.39222239808865,934.316581110594,-0.190515851875428,0.232134270872992,-385.755764898666,1224.64767032622
343.15,955.7,0,0.391237457033096,0.391992178390344,954.172634907612,-0.159816374635158,0.192906211734138,-371.01967970569,-190.974839821625
348.15,975,0,0.391165994407539,0.39172261274616,973.840385944585,-0.118934774914357,0.142297220765282,-357.20859774884,-1378.37638766163
353.15,994.1,0,0.391094531781982,0.391455209850065,993.327402972015,-0.0777182404169887,0.0922227335779593,-344.235594050393,-2369.96133339473
358.15,1013,0,0.39101796468317,0.391181088438579,1012.64111264395,-0.0354281694031672,0.0417177137987502,-332.017319651316,-3193.49929212077
363.15,1032,0,0.390946502057613,0.391024512301464,1031.8239031294,-0.0170636502519454,0.0199541992164569,-320.472526213336,-3872.81638916839
368.15,1050.8,0,0.390869934958802,0.390837512588006,1050.87502933674,0.00714021095775954,-0.00829492572743443,-309.521310315945,-4428.37788036179
373.15,1069.6,0,0.390798472333245,0.390696526868946,1069.84165403953,0.0225929356332635,-0.0260864541484595,-299.084834360457,-4877.78016864987
378.15,1088.4,0,0.390721905234433,0.39058778753139,1088.72542487078,0.0298993817331019,-0.0343256165693341,-289.085350666962,-5236.16709010451
383.15,1107.2,0,0.390645338135622,0.390498184498584,1107.56526898966,0.0329903350485531,-0.03766936980219,-279.446406433951,-5516.5827665078
388.15,1125.9,0,0.390573875510065,0.390375855745337,1126.4025855717,0.0446385621898158,-0.0506996952801983,-270.093144546007,-5730.27121569186
393.15,1144.4,0,0.390497308411253,0.390173004447571,1145.24127559548,0.073512372901307,-0.0830489626167088,-260.95264234306,-5886.93118448538
328.15,709.5,0,0.296437179758109,0.296764044497492,708.828373874898,-0.0946618921919774,0.110264420829278,-418.38524679294,4898.43482511684
333.15,723.9,0,0.296386135025568,0.296582685214471,723.484770119925,-0.0573601160485349,0.0663155814916952,-401.509887276717,2906.35205305012
338.15,738.1,0,0.296329985819773,0.296381150498427,737.988993521366,-0.0150394903988248,0.0172661158511533,-385.755764898666,1224.64767032622
343.15,752.1,0,0.296273836613978,0.296155692277316,752.362968730792,0.0349645965685655,-0.0398767363370761,-371.01967970569,-190.974839821625
348.15,766,0,0.296217687408183,0.295947083918652,766.617331128845,0.0805915311807754,-0.0913529141014451,-357.20859774884,-1378.37638766163
353.15,780.2,0,0.296161538202388,0.295920635046221,780.762737905817,0.0721273911582511,-0.0813418101586546,-344.235594050393,-2369.96133339473
358.15,794.1,0,0.296105388996593,0.295808168438506,794.810383661614,0.0894577083004019,-0.100376612223879,-332.017319651316,-3193.49929212077
363.15,807.8,0,0.296049239790798,0.295651371003851,808.77229529006,0.120363368415513,-0.134392774400661,-320.472526213336,-3872.81638916839
368.15,821.6,0,0.295993090585003,0.295567980216335,822.661469613191,0.129195425169301,-0.14362172030034,-309.521310315945,-4428.37788036179
373.15,835.5,0,0.295936941379208,0.295547914593201,836.491901254209,0.118719479857462,-0.131455973084859,-299.084834360457,-4877.78016864987
378.15,849.3,0,0.295880792173413,0.295504758354017,850.278536097339,0.11521677821017,-0.127089635198832,-289.085350666962,-5236.16709010451
383.15,863,0,0.295824642967618,0.295433949035931,864.037176467017,0.120182672887233,-0.132069434029403,-279.446406433951,-5516.5827665078
388.15,876.7,0,0.295768493761823,0.295367936476534,877.784357174935,0.123686229603602,-0.135429328592303,-270.093144546007,-5730.27121569186
393.15,890.5,0,0.295712344556028,0.295336490391084,891.537206302447,0.116474598814984,-0.127101276582851,-260.95264234306,-5886.93118448538
