T,P,RHO,Pcal,DevP,B,C
313.15,649.7,0.288867484491595,649.707646037339,0.00117685660133488,-0.475203864152954,0.0133032351556342
318.15,665.2,0.288816440618876,664.412770194356,-0.118344829471431,-0.454182947519772,0.0100308744630673
323.15,679.7,0.288765396746157,678.931680697333,-0.113038002452163,-0.434729837415257,0.00725328712056255
303.15,497.8,0.223572162509398,498.238616068402,0.0881109016476579,-0.523006088973078,0.0216845413062603
308.15,510,0.223531327411223,509.442900981878,-0.109235101592519,-0.498035333503384,0.0171546530597421
313.15,521,0.223490492313048,520.483381352036,-0.0991590495131637,-0.475203864152954,0.0133032351556342
318.15,531.7,0.223449657214873,531.388329866354,-0.0586176666627324,-0.454182947519772,0.0100308744630673
323.15,542.3,0.223408822116698,542.177445712932,-0.0225989834164855,-0.434729837415257,0.00725328712056255
293.15,371.6,0.169179811739989,372.191995328847,0.159309830152696,-0.581357011350033,0.0332712769176919
298.15,380.5,0.169154289803629,380.597808609024,0.025705284894616,-0.550569429114146,0.0270103801878919
303.15,388.9,0.169123663479998,388.839688800534,-0.0155081510583587,-0.523006088973078,0.0216845413062603
308.15,396.9,0.169093037156366,396.961440539237,0.0154801056279441,-0.498035333503384,0.0171546530597421
313.15,404.9,0.169062410832735,404.986680326111,0.0214078355424493,-0.475203864152954,0.0133032351556342
318.15,412.6,0.169031784509103,412.93186692192,0.0804330882016988,-0.454182947519772,0.0100308744630673
323.15,420.4,0.169001158185472,420.808515092586,0.0971729525655742,-0.434729837415257,0.00725328712056255
288.15,281.6,0.127624994959418,281.919546817986,0.113475432523582,-0.6162534452178,0.0406322909027145
293.15,287.8,0.12760457741033,288.117080879496,0.110174037350905,-0.581357011350033,0.0332712769176919
298.15,294.1,0.12757905547397,294.187258827828,0.0296697816482674,-0.550569429114146,0.0270103801878919
303.15,300.3,0.127558637924883,300.179068451874,-0.0402702457960554,-0.523006088973078,0.0216845413062603
308.15,306,0.127533115988523,306.089834210109,0.0293575850030028,-0.498035333503384,0.0171546530597421
313.15,311.7,0.127512698439436,311.955719416964,0.0820402364337089,-0.475203864152954,0.0133032351556342
318.15,317.4,0.127487176503076,317.763094619795,0.114396540578204,-0.454182947519772,0.0100308744630673
323.15,323.1,0.127466758953989,323.542247143708,0.136876243797025,-0.434729837415257,0.00725328712056255
283.15,212.8,0.0963504141444613,212.587696129973,-0.0997668562158291,-0.656499286530452,0.0492897043462491
288.15,217.5,0.0963351009826456,217.185866829329,-0.144429043986444,-0.6162534452178,0.0406322909027145
293.15,222,0.0963197878208299,221.69463141864,-0.137553415027219,-0.581357011350033,0.0332712769176919
298.15,226.4,0.0962993702717423,226.124795445017,-0.121556782236492,-0.550569429114146,0.0270103801878919
303.15,230.6,0.0962840571099266,230.514479423942,-0.037086112774305,-0.523006088973078,0.0216845413062603
308.15,234.6,0.0962687439481108,234.863728640679,0.112416300374792,-0.498035333503384,0.0171546530597421
313.15,239,0.0962483263990232,239.168254990529,0.0703995776271938,-0.475203864152954,0.0133032351556342
318.15,243.2,0.0962330132372075,243.457423616651,0.105848526583533,-0.454182947519772,0.0100308744630673
323.15,247.4,0.0962125956881199,247.71066861579,0.125573409777668,-0.434729837415257,0.00725328712056255
353.15,1548.1,0.690419422397745,1545.27870888314,-0.182242175367491,-0.342711834570332,-0.00236965206856791
358.15,1586.3,0.690303440517063,1583.45807774356,-0.179154148423063,-0.330528270001339,-0.00319321174151803
