T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Var9,Var10
353.29,1503.2,1,0.6071,0.607536781404098,1502.31220779219,-0.0590601521960865,0.0719455450663221,-271.383134053078,19519.2756168137
353.29,1469.5,1,0.5907,0.591047182609542,1468.7863984825,-0.048560838210285,0.0587747773052361,-271.383134053078,19519.2756168137
353.29,1345.7,1,0.5317,0.531994583948377,1345.07014574628,-0.0468049530891111,0.0554041655778117,-271.383134053078,19519.2756168137
353.29,1152.6,1,0.4441,0.444232929864835,1152.2991550155,-0.0261014215251612,0.0299324172112854,-271.383134053078,19519.2756168137
353.29,982.5,1,0.3707,0.37079771763118,982.268414509089,-0.0235710423319563,0.0263602997518493,-271.383134053078,19519.2756168137
353.29,894.2,1,0.3339,0.33395951712266,894.055719522842,-0.016135146181809,0.0178248345791495,-271.383134053078,19519.2756168137
353.29,552.1,1,0.1985,0.198495677905014,552.111357181592,0.00205708777245679,-0.00217737782647267,-271.383134053078,19519.2756168137
353.29,482.6,1,0.1722,0.172247211430343,482.474043822948,-0.0260994979386987,0.0274166262154487,-271.383134053078,19519.2756168137
353.29,332.5,1,0.1169,0.116871188592195,332.579329085585,0.0238583716046187,-0.0246462000041243,-271.383134053078,19519.2756168137
353.29,285.6,1,0.0999,0.0999189924145706,285.547204434493,-0.0184858422644096,0.019011425996606,-271.383134053078,19519.2756168137
348.28,2341.8,1,1.143,1.14616229504721,2337.78766012149,-0.171335719468315,0.27666623335191,-279.860800603024,20052.4041582769
348.28,1871.4,1,0.825,0.825829676204327,1870.0089778984,-0.074330560093884,0.100566812645663,-279.860800603024,20052.4041582769
348.28,1452.4,1,0.5968,0.597062179574385,1451.87818382529,-0.0359278555983051,0.0439308938312503,-279.860800603024,20052.4041582769
348.28,1104.8,1,0.4321,0.432179563336702,1104.62274445662,-0.0160441295604666,0.0184131767419203,-279.860800603024,20052.4041582769
348.28,828.9,1,0.313,0.313061323598777,828.752489382454,-0.0177959485518024,0.0195922040821359,-279.860800603024,20052.4041582769
348.28,615.8,1,0.2268,0.226821551159948,615.745322898418,-0.00887903565802453,0.00950227510937537,-279.860800603024,20052.4041582769
348.28,454.3,1,0.1644,0.164356546008735,454.414458706233,0.025194520412319,-0.0264318681662691,-279.860800603024,20052.4041582769
348.28,333.5,1,0.1191,0.119105465309239,333.485215422001,-0.00443315682114298,0.00458884067051993,-279.860800603024,20052.4041582769
348.28,244,1,0.0863,0.0863348259807957,243.903980131985,-0.0393524049240604,0.0403545548038524,-279.860800603024,20052.4041582769
348.28,178,1,0.0626,0.0625600205935308,178.111742092211,0.0627764562985477,-0.0638648665641746,-279.860800603024,20052.4041582769
343.27,1785.4,1,0.7993,0.799685066174573,1784.76504722981,-0.0355636143269277,0.0481754253187249,-288.7188805908,20550.1728290217
343.27,1393.9,1,0.5821,0.582193730939828,1393.71682124745,-0.0131414558113289,0.0161022057770727,-288.7188805908,20550.1728290217
343.27,1064.5,1,0.4231,0.423103156637556,1064.49309236875,-0.000648908525192063,0.000746073636429825,-288.7188805908,20550.1728290217
343.27,800.7,1,0.3072,0.307195780630337,800.709976319089,0.00124594968009703,-0.00137349272883933,-288.7188805908,20550.1728290217
343.27,595.9,1,0.2229,0.222906592008957,595.883549842658,-0.00276055669435096,0.00295738400937214,-288.7188805908,20550.1728290217
343.27,440.2,1,0.1617,0.161697065793932,440.207606038626,0.00172785975141712,-0.00181459868128953,-288.7188805908,20550.1728290217
343.27,323.4,1,0.1173,0.11724717470457,323.540685942908,0.0435021468483509,-0.0450343524552246,-288.7188805908,20550.1728290217
343.27,236.7,1,0.085,0.085007525948696,236.679565058484,-0.00863326637781978,0.00885405728938497,-288.7188805908,20550.1728290217
343.27,172.8,1,0.0616,0.0616368785714337,172.69846586076,-0.0587581824304826,0.0598678107690322,-288.7188805908,20550.1728290217
343.27,125.9,1,0.0447,0.0446869406431054,125.936315175248,0.0288444600854827,-0.0292155635226416,-288.7188805908,20550.1728290217
338.28,1697.6,1,0.771,0.771098536935452,1697.43981255115,-0.0094361126795396,0.0127804066734152,-297.943775087275,20998.0838767923
338.28,1334.7,1,0.5662,0.566270348206352,1334.56490348263,-0.0101218638922531,0.0124246213973645,-297.943775087275,20998.0838767923
338.28,1023.7,1,0.4134,0.413406339550982,1023.68636986747,-0.00133145770582773,0.00153351499320104,-297.943775087275,20998.0838767923
338.28,772.2,1,0.301,0.300966202088885,772.27855314085,0.0101726419127286,-0.0112285418987142,-297.943775087275,20998.0838767923
338.28,575.8,1,0.2188,0.218760581504297,575.896748838919,0.0168025076274325,-0.018015765860422,-297.943775087275,20998.0838767923
