T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Bm,Cm
283.37,190.7,0.33,0.0881438393586974,0.085255496419558,196.807540431478,3.20269555924365,-3.27685174613899,-0.598443300296599,0.0561472561438782
288.36,194.9,0.33,0.0881326383130405,0.0854384320625132,200.72711662808,2.98979816730646,-3.05699035237973,-0.575840046421118,0.0908908931321985
293.35,199.1,0.33,0.0881214401138102,0.085604854237152,204.665244807412,2.7952008073391,-2.85581564873202,-0.552140280232302,0.115048004738831
298.35,203.2,0.33,0.0881102223271986,0.0857176965345822,208.607079951133,2.66096454288046,-2.715378226753,-0.52866104193276,0.130638044138422
303.34,207.3,0.33,0.0880990298232661,0.0858345328457588,212.526542896681,2.52124597042034,-2.57039944940375,-0.506117670325262,0.139242873137539
308.33,211.2,0.33,0.088087840162505,0.0858682092758142,216.428848425572,2.47578050453232,-2.51979260996298,-0.484644193035874,0.142252742876931
313.33,215.6,0.33,0.0880766309282106,0.086110930975059,220.32332842957,2.19078313059822,-2.2318064762875,-0.464147676463935,0.140773630784442
318.31,219.8,0.33,0.0880654693661649,0.0862732990851448,224.190120849173,1.99732522710342,-2.03504312634546,-0.444594583007297,0.13574266529936
323.31,224,0.33,0.0880542658241819,0.0864262370718373,228.064102269024,1.81433137009991,-1.8488925404197,-0.425657230262007,0.127876410981986
328.3,228.2,0.33,0.0880430875309679,0.0865781254678577,231.925145359831,1.63240375102141,-1.66391491279182,-0.407315089717863,0.117835774299681
333.28,232.1,0.33,0.0880319344683778,0.08661255954012,235.775131063606,1.58342570599119,-1.61234094971259,-0.389490244280663,0.106143747570098
338.28,235.9,0.33,0.0880207394567353,0.0866027949793112,239.637480343943,1.58434944635156,-1.61092088770864,-0.372075133373646,0.0931458408047186
343.27,239.8,0.33,0.0880095696735565,0.0866347605081415,243.487492955797,1.53773684561999,-1.56211326849383,-0.355249013578121,0.0792612390086208
348.28,243.6,0.33,0.087998357973289,0.0866258449591167,247.345002761944,1.5373574556422,-1.55970298285438,-0.339057232020057,0.0646879761517272
